question,option_a,option_b,option_c,option_d,correct_option,explanation,hint_1,hint_2,hint_3
What is a common sign of infection?,Bradycardia,Fever,Low WBC,Clear drainage,B,Fever is common infection sign.,Inflammation.,Temp rises.,Not low WBC.
Which is appropriate for pain assessment?,Use numeric scale,Guess based on age,Only observe,Wait for complaint,A,Use patient-reported scale.,Pain is subjective.,Ask the patient.,Don't guess.
Which fluid is isotonic?,0.45% NS,0.9% NS,3% NS,D5W with insulin,B,0.9% NS is isotonic.,Normal saline.,Not hypotonic.,Not hypertonic.
What is the function of platelets?,Carry oxygen,Provide immunity,Clotting,Transport nutrients,C,Platelets help clot.,Hemostasis.,Not RBC or WBC.,Clot formation.
Which is a contact isolation example?,C. difficile,Influenza,TB,Measles,A,C. diff requires contact precautions.,Spore-forming.,Gown and gloves.,Not airborne.
A patient with wheezing likely has?,Upper airway obstruction,Bronchospasm,Fluid overload,GI bleeding,B,Wheezing indicates bronchospasm.,Asthma/COPD.,Airway narrowing.,Not fluid overload.
Which is a safe range for adult SpO2?,70-80%,80-90%,95-100%,100-110%,C,Normal SpO2 is 95-100%. ,Oxygenation.,Above mid-90s.,Not over 100.
Which is used to treat anaphylaxis?,Epinephrine,Insulin,Warfarin,Lasix,A,Epinephrine is first-line.,Emergency use.,IM injection.,Not anticoagulant.
What is the role of RN in delegation?,Only delegate to RNs,Delegate to unlicensed staff appropriately,Never delegate,Delegate only medications,B,Delegate appropriate tasks.,Use scope of practice.,Supervise outcomes.,Not never.
Which is an appropriate sterile field action?,Reach over field,Turn back to field,Keep hands above waist,Moisten with saline,C,Maintain sterile field above waist.,Avoid contamination.,Do not reach.,Do not turn away.
Which is a complication of IV infiltration?,Warmth and pain,Coolness and swelling,Rash and itching,High fever,B,Infiltration causes cool swelling.,Fluid in tissue.,Stop infusion.,Not warmth.
Which lab indicates anemia?,Low hemoglobin,High glucose,High sodium,Low calcium,A,Low Hgb indicates anemia.,RBC marker.,Low oxygen carrying.,Not glucose.
Which is a safety measure for fall prevention?,Bed in high position,Cluttered floor,Call light within reach,Dim lighting,C,Call light within reach prevents falls.,Safety measure.,Reduce hazards.,Not clutter.
Which is a sign of hypoxia?,Cyanosis,Hypertension,Hyperthermia,Polyphagia,A,Cyanosis indicates low oxygen.,Blue discoloration.,Hypoxia sign.,Not high BP.
Which is the best site to measure core temperature?,Oral,Rectal,Axillary,Temporal,B,Rectal is closest to core.,Core temp.,Accurate.,Not axillary.
Which is a normal adult systolic BP range?,70-90,90-120,120-150,150-180,B,Normal systolic 90-120.,Typical adult range.,Not hypertensive.,Not hypotensive.
